Furnished,Price(L),Bedrooms,Bathrooms,Area(in sqft),Filtered Locality
Semi-Furnished,"20,000",3,2,1608,Ring
Furnished,"20,000",3,2,2000,Nagar
Semi-Furnished,"26,000",2,1,1200,Ameerpet
Unfurnished,"20,000",2,2,1000,Banda
Unfurnished,"18,500",2,1,1100,Chowki
Unfurnished,"35,000",2,1,950,Shaikpet
Semi-Furnished,"40,000",3,1,1900,Jeedimetla
Furnished,"30,000",3,2,2045,Shaikpet
Furnished,"40,000",3,2,1800,Serilingampally
Semi-Furnished,"21,000",3,1,1368,Gajularamara
Semi-Furnished,"32,500",3,2,1500,Kukatpally
Semi-Furnished,"32,000",3,2,1450,Madhapur
Furnished,"45,000",3,2,2347,Kondapur
Semi-Furnished,"45,000",3,3,2800,Gachibowli
Semi-Furnished,"40,000",3,1,1650,Gachibowli
Unfurnished,"31,500",3,2,1865,Hitech City
Semi-Furnished,"24,000",3,2,2200,"Malakpet,"
Semi-Furnished,"45,000",3,2,3000,Hafeezpet
Semi-Furnished,"13,000",2,2,1000,Alwal
Unfurnished,"20,000",2,1,1300,"Punjagutta,"
Furnished,"18,000",2,2,1300,Kukatpally
Furnished,"45,000",3,1,1375,Manikonda
Semi-Furnished,"20,000",3,1,1800,Narsingi
Semi-Furnished,"36,000",3,2,2000,"Nagar,"
Semi-Furnished,"22,000",3,2,1600,Kompally
Semi-Furnished,"23,000",3,2,2100,"Nagar-Ramanthpur,"
Semi-Furnished,"15,500",3,3,1789,Secunderabad
Unfurnished,"12,000",3,1,1450,Sainikpuri
Semi-Furnished,"45,000",4,3,3380,Narsingi
Semi-Furnished,"35,000",3,1,2000,"Lakdikapul,"
Unfurnished,"15,000",2,3,1100,Nagar
Semi-Furnished,"32,000",3,1,1690,Chandanagar
Semi-Furnished,"22,000",3,2,1750,Secunderabad
Furnished,"27,000",2,3,1050,Marredpally
Unfurnished,"10,000",2,2,800,Sangareddy
Furnished,"22,000",2,1,1070,Chowki
Semi-Furnished,"12,000",3,1,1252,Dammaiguda
Semi-Furnished,"16,000",3,3,1150,Nallakunta
Semi-Furnished,"22,000",3,2,2400,Ring
Furnished,"39,000",3,2,1590,Hafeezpet
Unfurnished,"18,000",3,2,1700,sahu
Furnished,"50,000",3,3,1550,Mallepally
Unfurnished,"33,000",2,1,1314,Narsingi
Semi-Furnished,"18,500",3,2,1000,Marg
Furnished,"48,000",3,3,1950,Guda
Semi-Furnished,"25,000",4,2,4000,Kukatpally
